"CERT","CHCLASS1","CITYST","COST","FAILDATE","FIN","ID","NAME","QBFASSET","QBFDEP","RESTYPE","RESTYPE1","SAVR"
19040,"N","CORAL GABLES, FL",28994,"12/17/2010","10324","3885","THE BANK OF MIAMI",448150,374218,"FAILURE","PA","DIF"
23306,"N","LINO LAKES, MN",5827,"12/17/2010","10321","3886","COMMUNITY NATIONAL BANK",31569,28844,"FAILURE","PA","DIF"
34578,"NM","DAWSONVILLE, GA",83075,"12/17/2010","10320","3887","CHESTATEE STATE BANK",244376,240476,"FAILURE","PA","DIF"
35065,"N","ATLANTA, GA",96415,"12/17/2010","10323","3888","UNITED AMERICAS BANK",242339,193803,"FAILURE","PA","DIF"
58052,"NM","BATESVILLE, AR",24771,"12/17/2010","10322","3889","FIRST SOUTHERN BANK",191764,155803,"FAILURE","PA","DIF"
58495,"SB","MCCAYSVILLE, GA",28452,"12/17/2010","10319","3890","APPALACIAN COMMUNITY BANK, F.S.B.",68201,76360,"FAILURE","PA","DIF"
34673,"SM","FARMINGTON HILLS, MI",68586,"12/10/2010","10318","3883","PARAMOUNT BANK",252744,213550,"FAILURE","PA","DIF"
35561,"NM","SOUTHAMPTON, PA",22495,"12/10/2010","10317","3884","EARTHSTAR BANK",112643,104505,"FAILURE","PA","DIF"
5287,"SM","BURLINGTON, WI",86211,"11/19/2010","10315","3880","FIRST BANKING CENTER",750724,664752,"FAILURE","PA","DIF"
20340,"NM","CARRABELLE, FL",44443,"11/19/2010","10316","3881","GULF STATE COMMUNITY BANK",112144,112193,"FAILURE","PA","DIF"
35078,"NM","BALA CYNWYD, PA",12652,"11/19/2010","10314","3882","ALLEGIANCE BANK OF NORTH AMERICA",106595,91996,"FAILURE","PA","DIF"
14580,"NM","VIDALIA, GA",125908,"11/12/2010","10312","3877","DARBY BANK & TRUST COMPANY",654714,587626,"FAILURE","PA","DIF"
35463,"NM","SCOTTSDALE, AZ",52561,"11/12/2010","10311","3878","COPPER STAR BANK",203955,190182,"FAILURE","PA","DIF"
57831,"NM","TIFTON, GA",21383,"11/12/2010","10313","3879","TIFTON BANKING COMPANY",143729,141573,"FAILURE","PA","DIF"
31263,"NM","RANDALLSTOWN, MD",136348,"11/5/2010","10308","3873","K BANK",538258,500056,"FAILURE","PA","DIF"
34411,"SM","TACOMA, WA",26754,"11/5/2010","10309","3874","PIERCE COMMERCIAL BANK",221082,193473,"FAILURE","PA","DIF"
57885,"NM","WESTMINSTER, CA",14264,"11/5/2010","10307","3875","FIRST VIETNAMESE AMERICAN BANK",48000,47012,"FAILURE","PA","DIF"
58087,"NM","WOODLAND HILLS, CA",16943,"11/5/2010","10310","3876","WESTERN COMMERCIAL BANK",98635,101127,"FAILURE","PA","DIF"
2119,"N","BARNESVILLE, GA",46897,"10/22/2010","10304","3866","THE FIRST NATIONAL BANK OF BARNESVILLE",126622,122880,"FAILURE","PA","DIF"
16089,"N","MAYWOOD, IL",44303,"10/22/2010","10301","3867","FIRST SUBURBAN NATIONAL BANK",143451,135475,"FAILURE","PA","DIF"
22173,"NM","OVERLAND PARK, KS",275262,"10/22/2010","10302","3868","HILLCREST BANK",1583611,1488785,"FAILURE","PA","DIF"
27573,"NM","JACKSONVILLE, FL",14277,"10/22/2010","10300","3869","FIRST BANK OF JACKSONVILLE",73922,72198,"FAILURE","PA","DIF"
32251,"SM","TAMPA, FL",34562,"10/22/2010","10303","3870","PROGRESS BANK OF FLORIDA",94823,86861,"FAILURE","PA","DIF"
32582,"SB","SCOTTSDALE, AZ",26776,"10/22/2010","10306","3871","FIRST ARIZONA SAVINGS, A FSB",255920,190615,"FAILURE","PO","DIF"
33904,"NM","GORDON, GA",10354,"10/22/2010","10305","3872","THE GORDON BANK",29259,26867,"FAILURE","PA","DIF"
30898,"SB","OLATHE, KS",53100,"10/15/2010","10298","3863","SECURITY SAVINGS BANK, F.S.B.",453349,347080,"FAILURE","PA","DIF"
34016,"NM","JEFFERSON CITY, MO",308595,"10/15/2010","10297","3864","PREMIER BANK",989382,869367,"FAILURE","PA","DIF"
58205,"NM","CHESTERFIELD, MO",22436,"10/15/2010","10299","3865","WESTBRIDGE BANK AND TRUST COMPANY",87782,70131,"FAILURE","PA","DIF"
21777,"NM","CRAWFORDVILLE, FL",119933,"10/1/2010","10296","3861","WAKULLA BANK",402205,367228,"FAILURE","PA","DIF"
35250,"NM","SHORELINE, WA",23478,"10/1/2010","10295","3862","SHORELINE BANK",92980,90644,"FAILURE","PA","DIF"
35053,"NM","ARLINGTON, WA",70800,"9/24/2010","10294","3859","NORTH COUNTY BANK",288776,276081,"FAILURE","PA","DIF"
58308,"NM","PONTE VEDRA BEACH, FL",34827,"9/24/2010","10293","3860","HAVEN TRUST BANK FLORIDA",148575,133561,"FAILURE","PA","DIF"
182,"NM","WINDER, GA",101852,"9/17/2010","10292","3853","THE PEOPLES BANK",447185,398181,"FAILURE","PA","DIF"
27808,"SI","MILFORD, OH",17928,"9/17/2010","10288","3854","BRAMBLE SAVINGS BANK",47523,41551,"FAILURE","PA","DIF"
28612,"SL","WEST ALLIS, WI",88384,"9/17/2010","10291","3855","MARITIME SAVINGS BANK",350488,248134,"FAILURE","PA","DIF"
57107,"NM","CHERRY HILL, NJ",18856,"9/17/2010","10290","3856","ISN BANK",81564,79652,"FAILURE","PA","DIF"
57448,"NM","DOUGLASVILLE, GA",101039,"9/17/2010","10289","3857","FIRST COMMERCE COMMUNITY BANK",248151,242831,"FAILURE","PA","DIF"
58197,"NM","ELLIJAY, GA",79709,"9/17/2010","10287","3858","THE BANK OF ELLIJAY",168820,160718,"FAILURE","PA","DIF"
35061,"SM","BRADENTON, FL",61295,"9/10/2010","10286","3852","HORIZON BANK",187819,164594,"FAILURE","PA","DIF"
15640,"NM","CHICAGO, IL",525962,"8/20/2010","10284","3844","SHOREBANK",2166431,1547403,"FAILURE","PA","DIF"
25266,"N","BARTOW, FL",9170,"8/20/2010","10279","3845","COMMUNITY NATIONAL BANK AT BARTOW",67918,63708,"FAILURE","PA","DIF"
27090,"SM","STOCKTON, CA",34038,"8/20/2010","10283","3846","PACIFIC STATE BANK",312077,278832,"FAILURE","PA","DIF"
27259,"NM","SONOMA, CA",10285,"8/20/2010","10285","3847","SONOMA VALLEY BANK",337113,255501,"FAILURE","PA","DIF"
27344,"N","OCALA, FL",11982,"8/20/2010","10281","3848","INDEPENDENT NATIONAL BANK",156218,141877,"FAILURE","PA","DIF"
31623,"SL","MARTINSVILLE, VA",4746,"8/20/2010","10280","3849","IMPERIAL SAVINGS AND LOAN ASSOCIATION",9448,10090,"FAILURE","PA","DIF"
32165,"SB","SOLVANG, CA",3434,"8/20/2010","10282","3850","LOS PADRES BANK",866459,770899,"FAILURE","PA","DIF"
33219,"NM","CHICO, CA",1663,"8/20/2010","10278","3851","BUTTE COMMUNITY BANK",498751,471256,"FAILURE","PA","DIF"
17599,"NM","PALOS HEIGHTS, IL",66962,"8/13/2010","10277","3843","PALOS BANK AND TRUST COMPANY",493391,467784,"FAILURE","PA","DIF"
34231,"NM","CHICAGO, IL",67865,"8/6/2010","10276","3842","RAVENSWOOD BANK",264628,269448,"FAILURE","PA","DIF"
9619,"NM","PANAMA CITY BEACH, FL",116866,"7/30/2010","10272","3837","COASTAL COMMUNITY BANK",377469,370016,"FAILURE","PA","DIF"
22643,"NM","LONGVIEW, WA",31471,"7/30/2010","10275","3838","THE COWLITZ BANK",489019,474742,"FAILURE","PA","DIF"
31964,"NM","EUGENE, OR",51017,"7/30/2010","10273","3839","LIBERTYBANK",714574,692670,"FAILURE","PA","DIF"
57658,"NM","ACWORTH, GA",33627,"7/30/2010","10274","3840","NORTHWEST BANK & TRUST",160763,155531,"FAILURE","PA","DIF"
57669,"SB","PORT SAINT JOE, FL",12479,"7/30/2010","10271","3841","BAYSIDE SAVINGS BANK",64344,52720,"FAILURE","PA","DIF"
10506,"SM","SYLVAN GROVE, KS",6651,"7/23/2010","10269","3830","THUNDER BANK",28248,27048,"FAILURE","PA","DIF"
17837,"N","KINGSTREE, SC",2425,"7/23/2010","10270","3831","WILLIAMSBURG FIRST NATIONAL BANK",130411,126993,"FAILURE","PA","DIF"
23181,"SM","CAVE JUNCTION, OR",28068,"7/23/2010","10266","3832","HOME VALLEY BANK",250488,227935,"FAILURE","PA","DIF"
27559,"NM","JASPER, GA",303731,"7/23/2010","10265","3833","CRESCENT BANK AND TRUST COMPANY",970235,932809,"FAILURE","PA","DIF"
32536,"SM","LANTANA, FL",41792,"7/23/2010","10268","3834","STERLING BANK",354966,329541,"FAILURE","PA","DIF"
34486,"NM","NEW PRAGUE, MN",18495,"7/23/2010","10264","3835","COMMUNITY SECURITY BANK",100649,95100,"FAILURE","PA","DIF"
35434,"NM","LAS VEGAS, NV",86297,"7/23/2010","10267","3836","SOUTHWESTUSA BANK",203690,183985,"FAILURE","PA","DIF"
25172,"SM","MIAMI, FL",64179,"7/16/2010","10259","3824","METRO BANK OF DADE COUNTY",399441,375522,"FAILURE","PA","DIF"
28136,"SB","HASTINGS, MI",12789,"7/16/2010","10258","3825","MAINSTREET SAVINGS BANK, FSB",96584,63291,"FAILURE","PA","DIF"
28864,"SB","CLEWISTON, FL",25533,"7/16/2010","10260","3826","OLDE CYPRESS COMMUNITY BANK",161355,157997,"FAILURE","PA","DIF"
32280,"SB","AVENTURA, FL",28658,"7/16/2010","10261","3827","TURNBERRY BANK",240251,179169,"FAILURE","PA","DIF"
32571,"SB","BLUFFTON, SC",107349,"7/16/2010","10262","3828","WOODLANDS BANK",382803,364808,"FAILURE","PA","DIF"
35383,"N","SPARTANBURG, SC",68274,"7/16/2010","10263","3829","FIRST NATIONAL BANK OF THE SOUTH",619374,550891,"FAILURE","PA","DIF"
11636,"N","BLACKWELL, OK",65822,"7/9/2010","10256","3820","HOME NATIONAL BANK",585445,514038,"FAILURE","PA","DIF"
32456,"SB","BALTIMORE, MD",3694,"7/9/2010","10257","3821","IDEAL FEDERAL SAVINGS BANK",6177,5803,"FAILURE","PO","DIF"
